keyword,intencion,prioridad,ubicacion_recomendada
panel regeneración celular luz roja,transaccional,principal,"H1, meta title, meta description, primeros 100 car."
panel luz roja regeneración celular,transaccional,alta,H1 / intro
panel fotobiomodulación piel y dolor,transaccional,alta,H2 problema / beneficios
panel led azul y rojo acné,transaccional específico,alta,H3 cian 485nm (keyword de búsqueda "azul")
panel infrarrojo profundo articulaciones,transaccional,media,H3 IR 940nm
luz roja para recuperación deportiva,transaccional,alta,H2 beneficios / protocolo
panel led 7 longitudes de onda,transaccional comparativo,media,H2 longitudes
red light therapy piel y músculo España,transaccional bilingüe,media,cuerpo / alt text
panel led para dolor crónico,transaccional específico,media,FAQ / beneficios
fotobiomodulación para acné beneficios,informacional,media,H3 cian 485nm (keyword de búsqueda "azul")
luz azul 485 nm antibacteriana,informacional específico,baja,H3 cian 485nm (keyword de búsqueda "azul")
bio regen 7,navegacional/branded,alta,"H1, título producto, FAQ"
panel led vs deep 5,transaccional comparativo,media,comparativa
diferencia deep 5 y bio regen 7,informacional/comparativo,media,comparativa / FAQ
mejor panel de luz roja para regeneración celular,informacional,media,FAQ / GEO Q&A
