keyword,tipo,volumen_estimado_mes_ES,intencion,dificultad,posicion_en_pagina
panel luz roja infrarroja,primaria,400-700,transaccional,media,H1 + Title
fotobiomodulación panel,primaria,150-300,transaccional,baja,H1 + H2 solución
panel fotobiomodulación España,primaria,50-150,transaccional,baja,Title + body
terapia luz roja panel,primaria,200-400,comparativa,media,H2 cómo funciona
Ekio Light Deep 5,primaria,marca,navegacional,baja,H1 + Title
beneficios luz roja infrarroja,secundaria,500-900,informacional,media,H2 beneficios
qué es la fotobiomodulación,secundaria,600-1000,informacional,media,H2 solución + FAQ
luz roja para dormir mejor,secundaria,300-500,informacional,media,beneficio sueño + FAQ
recuperación muscular luz roja,secundaria,200-400,informacional,media,beneficio músculo
luz infrarroja antiaging,secundaria,150-300,informacional,media,beneficio piel
panel NIR terapéutico,secundaria,50-120,informacional,baja,composición LED
mejor panel luz roja infrarroja España,long-tail,50-100,comparativa-transaccional,baja,comparativa + meta
panel fotobiomodulación precio,long-tail,50-100,transaccional,baja,bloque precio + FAQ
luz roja para insomnio crónico,long-tail,50-150,informacional-alta,baja,FAQ + beneficio sueño
panel luz roja dolor articular,long-tail,50-150,informacional-alta,baja,beneficio dolor
panel 5 longitudes de onda,long-tail,10-50,técnica,baja,composición LED + specs
luz roja 660nm 850nm beneficios,long-tail,50-120,informacional,baja,composición LED
fotobiomodulación contraindicaciones,long-tail,50-150,informacional,baja,FAQ seguridad
