keyword,intencion,prioridad,ubicacion_recomendada
terapia de luz roja portatil,transaccional,principal,"H1, meta title, meta description, primeros 100 car."
dispositivo luz roja local rodilla,transaccional especifico,alta,"H2 usos / H3 rodilla, alt text"
luz roja para dolor articular cuello,transaccional especifico,alta,"H3 cuello y trapecios, FAQ"
fotobiomodulacion portatil casa,transaccional,alta,"H2 intro, cuerpo"
dispositivo led 660nm 850nm portatil,transaccional tecnico,alta,"H2 especificaciones, meta description"
luz roja recuperacion deportiva articulaciones,transaccional,alta,"H2 beneficios / protocolo deportivo"
red light therapy portatil España,transaccional bilingue,media,"cuerpo / alt text"
led infrarrojo cercano portatil,transaccional,media,"H2 mecanismo / especificaciones"
terapia luz roja cervicales trapecio,transaccional especifico,media,"H3 cuello y trapecios, FAQ"
fotobiomodulacion para rodilla,transaccional especifico,media,"H3 rodilla, alt text"
luz roja para recuperacion muscular portatil,transaccional,media,"H2 beneficios, protocolo deportivo"
dispositivo luz roja facial colageno,transaccional especifico,media,"H3 cara, protocolo facial"
ekio light core,navegacional/branded,alta,"H1 titulo producto, FAQ, schema name"
fotobiomodulacion local vs panel,informacional comparativo,media,"comparativa de gama, FAQ"
que es el infrarrojo 850nm para que sirve,informacional (TOFU),baja,"H3 850nm, GEO Q&A"
diferencia luz roja 660nm y 850nm,informacional educativo,baja,"H2 mecanismo, GEO Q&A"
luz roja para hipersensibilidad electromagnetica,transaccional especifico,media,"cuerpo / bloque confianza (bajo CEM)"
terapia luz roja para articulaciones pequeñas,transaccional especifico,baja,"H3 pies y manos"
dispositivo portatil fotobiomodulacion viaje,transaccional especifico,baja,"H3 viaje, alt text neceser"
mejor dispositivo luz roja portatil España,informacional/transaccional,media,"FAQ / GEO Q&A citabilidad"
